Date,C1,C2,C3,C4,C5,SB
10/23/2021,1,2,18,19,23,7
10/27/2021,6,9,16,17,26,6
10/30/2021,12,19,31,42,43,2
11/3/2021,4,12,35,39,43,14
11/6/2021,3,19,26,32,43,11
11/10/2021,5,7,23,34,43,11
11/13/2021,11,12,28,29,32,13
11/17/2021,1,11,22,32,33,12
11/20/2021,1,4,12,13,33,13
11/24/2021,4,7,19,33,39,8
11/27/2021,6,20,24,30,40,16
12/1/2021,9,11,15,20,35,2
12/4/2021,25,27,31,42,43,14
12/8/2021,9,25,33,35,40,7
12/11/2021,9,16,19,29,39,1
12/15/2021,7,25,34,42,43,2
12/18/2021,3,16,22,26,40,12
12/22/2021,5,20,35,38,43,2
12/25/2021,14,15,26,28,40,14
12/29/2021,16,17,24,26,28,4
1/1/2022,2,8,21,38,43,7
1/5/2022,20,21,38,40,43,5
1/8/2022,9,16,18,21,27,5
1/12/2022,2,12,17,30,32,1
1/15/2022,1,5,9,21,24,10
1/19/2022,22,24,34,38,43,6
1/22/2022,12,14,35,38,40,1
1/26/2022,22,24,31,33,34,13
1/29/2022,18,24,29,40,41,5
2/2/2022,3,14,15,19,31,7
2/5/2022,2,11,12,24,43,12
2/9/2022,2,3,8,15,33,6
2/12/2022,1,12,13,33,36,3
2/16/2022,5,8,9,21,42,8
2/19/2022,7,17,33,35,41,9
2/23/2022,40,23,20,32,17,2
2/26/2022,33,32,29,43,39,1
3/2/2022,19,3,9,4,26,15
3/5/2022,5,22,12,21,18,2
3/9/2022,7,21,35,32,9,7
3/12/2022,34,3,2,24,7,3
3/16/2022,34,13,2,38,16,16
3/19/2022,32,28,33,23,38,4
3/23/2022,16,34,28,30,18,1
3/26/2022,24,5,39,34,9,13
3/30/2022,22,30,40,33,29,3
4/2/2022,37,28,13,33,43,14
4/6/2022,28,35,4,14,32,15
4/9/2022,27,1,15,30,43,3
4/13/2022,31,13,10,28,7,2
4/16/2022,27,39,13,14,28,13
4/20/2022,36,12,18,5,32,12
4/23/2022,3,23,29,38,30,3
4/27/2022,17,6,31,15,7,12
4/30/2022,12,35,19,24,34,10
5/4/2022,41,3,11,10,19,15
5/7/2022,19,22,11,2,6,16
5/11/2022,22,11,23,24,5,15
5/14/2022,28,12,14,4,38,10
5/18/2022,28,38,32,22,23,5
5/21/2022,23,31,27,26,42,4
5/25/2022,8,36,21,1,28,5
5/28/2022,42,33,29,6,40,12
6/1/2022,25,10,17,28,18,16
6/4/2022,31,3,7,26,10,8
6/8/2022,12,22,28,42,43,9
6/11/2022,31,6,37,1,16,13
6/15/2022,14,16,34,27,41,14
6/18/2022,19,7,15,43,3,1
6/22/2022,5,30,31,14,20,8
6/25/2022,25,15,2,22,10,3
6/29/2022,11,41,12,8,29,14
7/2/2022,16,2,34,9,31,5
7/6/2022,31,42,40,22,35,2
7/9/2022,30,35,27,15,4,7
7/13/2022,13,6,15,38,12,16
7/16/2022,3,4,6,18,36,15
7/20/2022,13,37,8,7,18,12
7/23/2022,33,20,39,31,30,10
7/27/2022,9,7,29,10,11,13
7/30/2022,26,22,17,16,36,15
8/3/2022,38,33,6,28,34,12
8/6/2022,39,4,8,17,40,14
8/10/2022,40,15,33,13,14,16
8/13/2022,22,8,10,25,1,4
8/17/2022,20,35,7,3,31,7
8/20/2022,43,15,14,20,12,10
8/24/2022,24,2,40,6,32,5
8/27/2022,35,27,26,43,1,11
8/31/2022,4,42,19,12,17,14
9/3/2022,33,26,4,41,9,3
9/7/2022,15,1,33,22,12,16
9/10/2022,43,12,34,18,32,4
9/14/2022,6,8,20,34,41,8
9/17/2022,9,10,18,29,32,4
9/21/2022,6,3,7,42,26,11
9/24/2022,32,16,11,37,34,5
9/28/2022,6,37,36,38,17,11
10/1/2022,22,3,5,15,42,2
10/5/2022,5,43,23,34,16,16
10/8/2022,31,10,36,41,17,14
10/12/2022,24,34,33,12,36,3
10/15/2022,36,35,3,37,14,8
10/19/2022,1,7,20,36,39,14
10/22/2022,14,2,5,30,36,12
10/26/2022,29,21,20,8,38,11
10/29/2022,20,5,9,30,11,4
11/2/2022,33,15,43,5,19,8
11/5/2022,30,8,20,1,17,9
11/9/2022,43,12,26,2,7,4
11/12/2022,26,39,6,41,21,15
11/16/2022,16,25,9,5,26,10
11/19/2022,24,43,26,25,4,3
11/23/2022,33,20,39,31,30,10
11/26/2022,7,9,10,11,29,13
11/30/2022,35,16,15,6,12,3
12/3/2022,11,5,34,12,13,3
12/10/2022,36,21,22,4,7,10
12/14/2022,14,24,42,36,18,2
12/17/2022,42,37,21,34,26,11
12/21/2022,40,33,31,41,37,16
12/24/2022,16,27,36,26,42,11
12/28/2022,24,1,9,4,23,13
12/31/2022,32,39,14,33,25,12
1/4/2023,14,32,33,1,12,8
1/7/2023,34,40,17,33,11,9
1/11/2023,17,29,22,27,21,9
1/14/2023,36,4,8,21,43,8
1/18/2023,8,35,9,33,42,13
1/21/2023,42,11,6,13,16,12
1/25/2023,17,26,38,20,33,1
1/28/2023,40,27,8,18,42,8
2/1/2023,23,38,8,12,37,16
2/4/2023,6,42,26,18,5,9
2/8/2023,28,38,23,9,21,12
2/11/2023,20,25,7,26,30,11
2/15/2023,39,19,36,1,35,8
2/18/2023,13,31,7,10,5,14
2/22/2023,10,32,35,16,26,14
2/25/2023,26,20,38,37,29,12
3/1/2023,12,39,38,1,41,16
3/4/2023,31,5,11,1,28,15
3/8/2023,36,23,40,37,30,11
