Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6
10,21,23,24,29,42
1,8,16,19,25,37
1,3,15,16,28,42
4,10,20,24,31,34
8,10,14,18,19,22
5,6,7,15,39,40
4,8,9,15,40,41
14,16,27,28,38,41
1,15,21,22,26,38
5,8,18,20,30,35
6,15,18,20,21,25
8,10,21,25,28,32
13,20,25,28,35,40
6,7,14,22,29,30
19,34,36,40,41,42
7,8,32,34,35,36
2,14,16,22,25,41
15,19,20,23,36,39
4,6,15,34,35,37
12,17,18,31,34,37
1,11,17,30,31,33
1,21,23,24,25,32
1,3,4,13,22,28
5,13,14,21,25,42
3,12,20,31,34,35
3,6,11,16,21,28
6,18,20,27,39,40
17,22,26,34,38,39
9,11,20,22,29,39
10,23,25,28,39,40
6,9,10,12,15,19
11,14,19,25,31,39
4,7,10,12,15,40
4,15,19,22,24,38
3,11,12,15,22,24
4,10,26,31,33,37
15,16,18,22,28,41
20,21,33,35,36,41
1,3,14,24,25,28
9,12,14,21,22,42
11,13,24,25,27,39
11,14,22,31,35,36
4,8,10,13,22,26
13,18,22,24,26,37
8,10,23,27,29,34
8,14,21,25,35,41
4,13,19,24,27,36
19,23,28,29,34,35
12,13,17,24,25,27
2,12,13,18,22,34
4,21,22,25,33,41
5,13,19,25,39,41
3,11,21,30,32,40
1,17,20,23,28,34
2,3,7,8,15,20
3,8,17,19,31,41
4,11,22,32,40,42
10,22,28,31,34,39
4,9,20,22,33,42
12,14,17,18,20,23
3,16,20,23,27,41
1,4,10,16,24,29
7,9,17,18,23,34
11,13,25,27,32,34
9,13,16,26,38,42
5,8,23,24,25,33
6,9,16,25,27,39
6,8,14,19,20,38
7,10,12,20,36,40
3,14,32,33,36,38
1,5,8,18,22,33
1,2,14,24,36,40
12,13,20,28,29,38
4,10,12,15,22,34
4,6,13,15,24,33
12,16,19,29,37,39
4,25,26,30,34,42
5,13,22,33,34,40
3,4,6,14,16,39
3,13,14,18,22,37
1,17,18,20,23,29
6,8,18,29,35,42
3,14,23,30,34,35
1,14,15,23,32,34
4,6,13,18,33,41
1,4,14,15,20,31
15,23,25,30,39,40
10,15,29,30,34,38
5,6,12,16,24,38
5,20,28,31,33,39
6,10,18,25,27,42
6,8,9,13,30,36
1,8,9,26,35,38
2,14,32,40,41,42
5,15,21,31,36,41
3,12,14,27,32,39
18,23,24,30,34,40
7,9,23,32,40,41
1,2,14,20,26,29
9,11,32,33,37,41
2,8,31,32,34,37
9,10,13,22,32,40
1,13,16,18,25,42
11,14,18,21,22,23
3,13,20,32,38,41
4,10,11,17,28,32
8,13,24,25,27,32
5,12,16,23,26,31
17,23,31,34,35,42
2,4,13,21,37,38
3,12,22,24,28,39
7,18,21,29,31,36
8,13,14,22,41,42
3,5,20,24,27,35
10,12,15,22,23,27
6,11,15,27,30,38
6,12,17,18,22,31
6,23,26,29,30,39
19,25,27,28,33,36
5,13,14,27,36,41
9,16,17,18,33,38
6,21,24,26,33,36
25,30,32,34,35,41
16,19,22,25,31,36
16,27,30,31,37,39
10,18,29,31,32,41
14,20,21,23,34,42
7,21,29,30,38,39
1,5,10,16,18,37
15,20,34,35,37,41
2,8,19,21,34,37
6,8,11,16,20,27
3,21,25,30,32,38
2,12,25,29,37,38
20,27,28,30,36,37
5,14,22,23,30,37
10,11,14,17,33,34
4,7,14,15,20,36
17,21,22,32,36,42
2,4,6,12,20,22
2,7,12,26,36,41
1,2,16,28,33,35
4,6,16,17,21,30
10,11,14,25,27,28
1,12,19,23,24,34
3,18,20,27,32,33
14,18,29,32,40,42
2,8,9,23,27,39
5,7,9,20,31,35
5,9,13,19,34,42
1,5,9,23,28,41
1,2,4,11,14,42
1,7,27,35,38,39
2,3,13,14,24,41
3,13,21,24,29,32
11,18,19,24,36,38
1,11,16,33,39,41
2,5,16,21,34,35
1,8,12,20,32,38
8,21,23,35,36,39
10,15,22,23,28,38
5,14,23,25,38,40
1,11,12,19,23,24
19,20,23,24,26,36
4,20,24,30,36,40
2,4,25,31,33,36
5,12,13,29,34,39
7,25,28,32,35,39
5,18,30,34,41,42
13,17,18,27,31,34
5,17,18,33,35,41
11,19,20,28,35,37
1,9,15,22,29,33
7,12,18,23,29,34
7,15,25,35,40,41
3,6,13,14,29,30
4,12,28,29,34,39
1,2,17,29,39,40
7,8,13,31,29,40
18,22,24,32,41,42
1,13,24,27,34,42
1,18,22,32,38,41
5,11,29,30,31,36
4,15,27,30,34,39
17,20,26,27,36,38
3,10,14,19,37,40
8,9,24,31,35,37
1,9,16,20,34,39
2,6,8,9,27,39
5,8,9,16,25,31
10,12,24,28,32,37
1,3,11,16,19,33
8,15,28,36,38,41
1,5,13,21,29,40
1,5,14,26,32,35
2,8,10,13,22,31
2,8,17,18,21,25
7,10,19,22,25,27
2,11,17,18,28,38
3,5,6,7,8,14
2,4,6,11,28,42
6,8,14,20,23,26
12,19,21,24,26,40
2,13,14,17,31,42
1,5,8,9,29,42
9,11,24,26,39,40
9,13,20,28,29,42
8,16,17,21,33,35
18,28,29,32,37,38
6,26,28,29,34,39
6,12,18,20,25,34
2,27,28,29,34,39
1,9,12,14,16,24
1,2,17,39,40,42
2,6,10,12,22,23
6,8,14,19,25,42
17,27,28,34,40,42
6,7,13,31,37,39
2,3,8,23,37,39
9,15,30,32,39,42
8,15,21,24,32,38
2,11,15,19,26,30
8,11,16,25,30,35
15,21,27,31,37,38
6,15,16,24,29,42
2,17,24,28,34,36
3,23,25,34,37,41
4,6,21,28,29,36
11,22,26,31,37,39
4,9,14,20,28,34
10,11,12,17,26,42
13,20,24,30,31,41
3,4,12,21,23,26
5,14,18,20,32,41
3,4,16,22,25,42
3,14,21,36,41,42
4,14,16,17,33,38
5,10,11,15,28,40
11,17,23,26,32,41
14,16,23,26,28,34
1,23,26,32,35,37
2,4,14,29,31,32
4,13,18,19,22,41
6,13,25,29,36,38
2,5,16,23,27,29
9,11,13,14,15,29
14,15,20,22,29,37
8,11,24,25,36,42
9,15,16,33,37,40
5,12,13,33,36,41
4,18,19,23,36,40
8,12,15,20,23,42
4,6,9,13,14,18
9,11,16,33,36,38
1,3,4,20,24,26
5,27,32,35,36,38
4,21,25,31,35,40
2,7,18,38,39,41
7,15,23,25,32,40
4,8,9,16,35,40
9,19,24,33,34,37
14,16,27,28,36,42
5,18,19,23,38,40
6,14,21,26,32,40
2,8,21,24,36,40
12,15,22,23,30,41
3,4,8,17,19,41
2,3,8,11,16,28
2,4,17,22,26,31
10,13,19,20,21,36
3,7,8,12,20,24
9,14,17,27,35,40
10,18,19,24,27,28
11,12,19,30,34,41
1,14,32,36,39,41
1,8,11,19,29,40
1,10,18,23,33,34
6,13,23,36,37,1
21,33,35,40,41,42
4,23,25,35,36,39
4,12,17,34,40,42
2,3,7,9,25,33
2,3,13,19,36,39
1,6,10,15,35,42
3,12,20,23,32,41
13,17,21,33,35,36
1,2,3,17,19,32
19,22,36,37,40,41
14,15,21,27,34,41
1,4,7,17,30,31
1,8,17,18,31,40
7,14,20,32,38,40
5,7,22,30,35,40
2,5,9,24,31,33
13,14,24,26,27,31
5,8,10,11,16,20
20,22,28,34,40,41
4,5,8,12,21,35
10,14,18,27,31,39
2,8,14,20,25,30
1,8,19,28,40,41
3,11,15,23,28,38
7,10,11,17,20,25
3,6,13,15,30,33
6,14,18,20,36,42
1,10,18,22,23,32
2,4,16,29,30,41
5,14,18,20,34,37
13,14,20,31,36,40
1,17,22,40,41,42
16,17,19,22,27,36
11,15,19,23,26,34
2,17,19,27,31,40
1,8,10,13,24,27
6,12,18,22,32,33
4,7,8,10,20,31
4,28,31,38,39,42
3,8,12,25,26,38
4,8,12,13,20,32
4,5,9,15,24,38
1,3,12,14,16,32
