draw,drawdate,main1,main2,main3,main4,main5,main6,main7,bonus1,bonus2,sum7,sum9,odd7,even7
214,2017/5/26,2,6,9,12,31,36,37,3,22,133,158,3,4
215,2017/6/2,11,12,13,21,29,36,37,7,9,159,175,5,2
216,2017/6/9,9,14,22,24,25,36,37,8,28,167,203,3,4
217,2017/6/16,4,6,26,27,28,35,36,24,34,162,220,2,5
218,2017/6/23,15,16,17,21,26,29,30,10,34,154,198,4,3
219,2017/6/30,6,9,13,14,21,25,31,2,4,119,125,5,2
220,2017/7/7,7,9,11,18,25,28,35,20,27,133,180,5,2
221,2017/7/14,1,2,9,11,17,30,35,13,36,105,154,5,2
222,2017/7/21,3,9,18,21,23,27,29,35,37,130,202,6,1
223,2017/7/28,10,13,19,21,26,33,34,24,25,156,205,4,3
224,2017/8/4,2,4,7,10,12,29,34,1,21,98,120,2,5
225,2017/8/11,13,15,17,18,20,21,26,25,29,130,184,4,3
226,2017/8/18,12,17,21,24,26,30,32,10,22,162,194,2,5
227,2017/8/25,2,3,7,9,22,23,26,29,30,92,151,4,3
228,2017/9/1,6,11,14,21,24,28,31,22,36,135,193,3,4
229,2017/9/8,2,3,9,30,33,36,37,1,32,150,183,4,3
230,2017/9/15,3,5,8,15,22,25,27,18,31,105,154,5,2
231,2017/9/22,4,15,18,24,25,34,36,10,26,156,192,2,5
232,2017/9/29,2,4,7,9,15,35,37,10,23,109,142,5,2
233,2017/10/6,3,13,17,25,26,27,29,8,37,140,185,6,1
234,2017/10/13,7,14,15,16,23,25,30,5,34,130,169,4,3
235,2017/10/20,2,9,13,18,21,33,34,3,11,130,144,4,3
236,2017/10/27,19,22,23,34,35,36,37,10,30,206,246,4,3
237,2017/11/3,3,4,7,19,20,21,29,8,33,103,144,5,2
238,2017/11/10,3,21,26,33,34,35,37,23,31,189,243,5,2
239,2017/11/17,8,13,17,21,23,28,37,1,14,147,162,5,2
240,2017/11/24,9,12,14,24,29,31,35,5,30,154,189,4,3
241,2017/12/1,5,11,12,19,21,26,28,4,20,122,146,4,3
242,2017/12/8,1,5,13,17,31,32,35,19,24,134,177,6,1
243,2017/12/15,6,9,13,18,20,22,30,11,14,118,143,2,5
244,2017/12/22,2,9,17,22,32,34,36,11,12,152,175,2,5
245,2017/12/29,2,8,9,11,24,26,27,7,36,107,150,3,4
246,2018/1/5,3,6,9,19,23,25,31,21,36,116,173,6,1
247,2018/1/12,10,12,13,16,34,35,36,11,37,156,204,2,5
248,2018/1/19,1,5,6,22,25,27,31,12,18,117,147,5,2
249,2018/1/26,9,20,28,29,31,34,37,5,25,188,218,4,3
250,2018/2/2,5,9,10,13,26,30,34,18,23,127,168,3,4
251,2018/2/9,1,15,20,26,28,34,37,23,30,161,214,3,4
252,2018/2/16,8,23,24,25,27,30,31,11,17,168,196,4,3
253,2018/2/23,6,7,9,12,15,17,24,26,29,90,145,4,3
254,2018/3/2,1,12,14,18,23,24,31,7,26,123,156,3,4
255,2018/3/9,1,4,11,13,15,21,32,5,10,97,112,5,2
256,2018/3/16,14,21,24,27,30,33,37,19,20,186,225,4,3
257,2018/3/23,5,15,16,26,27,32,35,23,28,156,207,4,3
